pid,year,month,day,weight,quantity,value
P003,2018,8,30,75952144,0,11308886
P003,2018,9,10,47727624,0,6093504
P003,2018,9,20,108268480,0,12922146
P003,2018,9,30,32038016,0,5350822
P003,2018,10,10,71080952,0,8881148
P003,2018,10,20,55093,0,55927
P003,2018,10,30,72666008,0,9410996
P003,2018,11,10,42490336,0,5036049
P003,2018,11,20,81402,0,71645
P003,2018,11,30,31421008,0,3811895
P003,2018,12,10,599863,0,367914
P003,2018,12,20,338012,0,211098
P003,2018,12,30,51648996,0,5597086
P003,2019,1,10,43064420,0,4420670
P003,2019,1,20,106789944,0,10793752
P003,2019,1,30,19765746,0,2144551
P003,2019,2,10,86289136,0,8574050
P003,2019,2,20,157894240,0,15498669
P003,2019,2,30,211000,0,139038
P003,2019,3,10,41153,0,46169
P003,2019,3,20,18355012,0,1980130
P003,2019,3,30,46432104,0,4524670
P003,2019,4,10,21114600,0,2077960
P003,2019,4,20,345011,0,188761
P003,2019,4,30,44057068,0,4246270
P003,2019,5,10,79581,0,57700
P003,2019,5,20,73420,0,48982
P003,2019,5,30,20781112,0,2042000
P003,2019,6,10,383655,0,234585
P003,2019,6,20,60224944,0,5710393
P003,2019,6,30,180375,0,99595
P003,2019,7,10,21931988,0,2292135
P003,2019,7,20,344000,0,152082
P003,2019,7,30,103471720,0,9671929
P003,2019,8,10,76585608,0,6752867
P003,2019,8,20,60048100,0,3999994
P003,2019,8,30,21883804,0,1952810
P003,2019,9,10,391500,0,246621
P003,2019,9,20,54494480,0,4636128
P003,2019,9,30,83467,0,53809
P003,2019,10,10,74187920,0,6287334
P003,2019,10,20,118775056,0,9883444
P003,2019,10,30,378516,0,142671
P003,2019,11,10,57802,0,47650
P003,2019,11,20,330788,0,174966
P003,2019,11,30,75244800,0,5681464
P003,2019,12,10,503275,0,174386
P003,2019,12,20,56371256,0,5062004
P003,2019,12,30,4612140,0,405901
P003,2020,1,10,4845041,0,896648
P003,2020,1,20,242000,0,122450
P003,2020,1,30,16736130,0,1493962
P003,2020,2,10,71802,0,113324
P003,2020,2,20,66318688,0,4771477
P003,2020,2,30,4825767,0,1151244
P003,2020,3,10,99335792,0,7395253
P003,2020,3,20,80155,0,67980
P003,2020,3,30,152814,0,72727
P003,2020,4,10,5382004,0,493316
P003,2020,4,20,3184400,0,269726
P003,2020,4,30,54998984,0,3836137
P003,2020,5,10,24000,0,32275
P003,2020,5,20,65000,0,52800
P003,2020,5,30,42350740,0,3258258
P003,2020,6,10,31176150,0,2219014
P003,2020,6,20,94003,0,76370
P003,2020,6,30,86227,0,37641
P003,2020,7,10,107133736,0,6681917
P003,2020,7,20,22085604,0,1588699
P003,2020,7,30,35955,0,8463
P003,2020,8,10,55479276,0,3325228
P003,2020,8,20,221425,0,84845
P003,2020,8,30,158007,0,51152
P003,2020,9,10,16000,0,3728
P003,2020,9,20,1000,0,3543
P003,2020,9,30,179445,0,126116
P003,2020,10,10,154965,0,62857
P003,2020,10,20,314000,0,112441
P003,2020,10,30,57283872,0,4381494
P003,2020,11,10,111483,0,38334
P003,2020,11,20,86983,0,95198
P003,2020,11,30,42824,0,12464
P003,2020,12,10,296860,0,109504
P003,2020,12,20,187220,0,162041
P003,2020,12,30,358790,0,167587
P003,2021,1,10,222028,0,113433
P003,2021,1,20,168749,0,108723
P003,2021,1,30,52913044,0,5721561
P003,2021,2,10,371307,0,171463
P003,2021,2,20,143891,0,132575
P003,2021,2,30,120035,0,115381
P003,2021,3,10,41500,0,54320
P003,2021,3,20,299189,0,142770
P003,2021,3,30,72036,0,75578
P003,2021,4,10,386875,0,148499
P003,2021,4,20,168489,0,94688
P003,2021,4,30,17946054,0,2035422
P003,2021,5,10,349655,0,148997
P003,2021,5,20,389296,0,220297
P003,2021,5,30,210402,0,129165
P003,2021,6,10,21081,0,21081
P003,2021,6,20,33079544,0,4823476
P003,2021,6,30,234984,0,172180
